,Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1988 [YR1988],1992 [YR1992],1998 [YR1998],2002 [YR2002],2006 [YR2006],2010 [YR2010],2014 [YR2014],2018 [YR2018]
41,China,CHN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2414.65445462115,,2196.9696969697,,,2061.9085664861104,
42,Colombia,COL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,62313.7686208139,,52476.6020409362,,,45668.2163840571,
43,Comoros,COM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2749.4684361023496,,2107.18920276252,,,1580.21569944297,
44,"Congo, Dem. Rep.",COD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,24106.7679108062,,18046.3191263753,,,12200.5035635841,
45,"Congo, Rep.",COG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,89158.3452211127,,67061.6456625766,,,46865.361726705705,
46,Costa Rica,CRI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,34382.8730693865,,27554.7589873016,,,23564.2687277547,
47,Cote d'Ivoire,CIV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5997.305271189571,,4459.26507202868,,,3392.8415546967894,
48,Croatia,HRV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,8238.96404970652,,8763.01144491134,,,8894.88907223948,
49,Cuba,CUB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3550.5426546192894,,3403.6774895932,,,3371.39209307731,
50,Curacao,CUW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
51,Cyprus,CYP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,974.2559120471741,,798.391752408482,,,676.9158671682791,
52,Czech Republic,CZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,1289.60560232133,,,1249.36498530642,
53,Denmark,DNK,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1160.23413524849,,1116.0857533327699,,,1063.17472833671,
54,Djibouti,DJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,487.762050161449,,401.63761041687303,,,333.816997071312,
55,Dominica,DMA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2835.1100022680894,,2863.8114466543498,,,2813.5330941830202,
56,Dominican Republic,DOM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3172.0997761712397,,2693.41745964888,,,2311.8139200317,
57,Ecuador,ECU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,41283.5642422744,,33659.312821999396,,,27733.4812452333,
58,"Egypt, Arab Rep.",EGY,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,30.6817411288092,,25.1800925684552,,,19.9060756151746,
59,El Salvador,SLV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2885.72154947185,,2621.5436883694,,,2482.87246899507,
60,Equatorial Guinea,GNQ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,58130.9556281944,,39490.631607086405,,,23167.206640790697,
61,Eritrea,ERI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,1128.5508037297,,,,
62,Estonia,EST,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,8290.44068486476,,9214.485083553851,,,9668.74469873607,
63,Eswatini,SWZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3045.00728379583,,2590.6252729233497,,,2410.9126674282998,
64,Ethiopia,ETH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,1739.32653362159,,,1243.70180993172,
65,Faroe Islands,FRO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
66,Fiji,FJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,38349.4813081539,,35019.631846154,,,32950.4312409329,
67,Finland,FIN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,21221.7710777804,,20574.5570028677,,,19591.6442186706,
68,France,FRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3398.4004103092702,,3235.9701641609304,,,3015.8588939940696,
69,French Polynesia,PYF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,40165.159134360496,,,,
70,Gabon,GAB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,163578.13199757802,,127298.059868899,,,87058.0741055314,
71,"Gambia, The",GMB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2919.7790700503697,,2136.35499383662,,,1482.18268197992,
72,Georgia,GEO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,11927.7726479943,,14610.979222147,,,15628.8060431025,
73,Germany,DEU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1327.13840011953,,1297.15059051568,,,1321.27311456179,
74,Ghana,GHA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1935.6896191329397,,1496.56375625846,,,1112.96924326026,
75,Gibraltar,GIB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
76,Greece,GRC,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5577.426654195029,,5320.1140118778,,,5324.80727640423,
77,Greenland,GRL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,10652016.463813199,,,,
78,Grenada,GRD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2058.35434570061,,1929.8685759499801,,,1836.5135626526603,
79,Guam,GUM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
80,Guatemala,GTM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,11247.824596561499,,8944.332831402271,,,6857.8994869324,
81,Guinea,GIN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,33650.792327262,,26321.6925453939,,,20267.2824094248,
82,Guinea-Bissau,GNB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,15680.8938109472,,12754.5631442549,,,9453.81192468384,
83,Guyana,GUY,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,321933.417223037,,323581.578138238,,,315701.22350598697,
84,Haiti,HTI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1777.4455143272896,,1486.15228206051,,,1233.2913199042,
85,Honduras,HND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,17286.0945896011,,13083.6387409054,,,10123.2872567064,
86,"Hong Kong SAR, China",HKG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
87,Hungary,HUN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,578.628863685744,,590.632102351031,,,608.1203526935881,
88,Iceland,ISL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,651198.78034299,,591257.047262306,,,519264.721154845,
89,India,IND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1590.22197624834,,1322.5805050431698,,,1116.08160722025,
90,Indonesia,IDN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,10754.2468382275,,9288.83189387187,,,7913.643562062429,
91,"Iran, Islamic Rep.",IRN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2186.1039663411398,,1909.7925183573398,,,1658.79753340809,
92,Iraq,IRQ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1912.7592671828,,1411.84479221194,,,1022.9004452552,
93,Ireland,IRL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,13770.1177204554,,12462.0194524494,,,10520.123493368,
94,Isle of Man,IMN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,
95,Israel,ISR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,146.398594573492,,114.155251141553,,,91.28863030539091,
96,Italy,ITA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3213.1929582937896,,3198.4433237683197,,,3002.18098166877,
